中文名称,中文别称,指标类别,指标层级,一级业务主题,指标编码,指标定义,业务口径,计算公式,关联基础指标或复合指标,维度,基础计量单位,业务主责部门
GMV,,原子指标,T1,零售管理,REM.00.00.002,店铺后台系统销售额统计值及手工录入数据。,"店铺后台未减退款前销售额统计值，包含直营、加盟、电商等。
【关注点】
1、直播挂链、官旗O2O业绩归属电商
2、统计时间按照订单支付时间计算
3、含视同销售的一次性批发业务
4、MOP、JC等为代表的部分店铺用人工维护的方式获取
5、唯品渠道存在系数还原的特殊口径
6、仅支持店铺维度",,,"时间,品牌,门店",元,零售事业部
经营回款,零售回款额,原子指标,T2,零售管理,BUS1002,"统计时间内，净销额扣减唯品扣点和考虑分销结算回款比例后的剩余金额
",【电商】按订单支付时间统计，零售额扣减唯品扣点和考虑分销结算回款比例后，剩余的金额（销售次日获取，持续更新，自22年3月起含唯品补贴优惠劵，22年6月起含天猫超市销售数据；22年11月起含拼多多优惠券，23年起含京东POP店平台补贴；但暂不含Glemall和Aiken授权业务、JC唯品会、MOP唯品会、代运营keep、迪士尼及及非森马订单系统的数据）；【直营】按订单/小票支付时间统计，经营回款 = 零售额；【加盟】按配发时间统计，经营回款 = 含税净配发额；,/,,"品牌,渠道,店铺,商品维度",元,统筹运营中心>经营分析部
零售折扣,零售折扣/零售折率/净销折率/净销折扣/销售折扣,复合指标,T2,零售管理,REM.00.00.006,终端售出商品时基于吊牌价格所给予消费者的折扣。,口径与【零售额】【零售市值】一致。,零售额 / 零售市值,,"时间,品牌,门店,商品",%,零售事业部
终端成交市值,,复合指标,T2,,BUS1009,统计时间内，终端零售量*吊牌价,,,,,,
终端零售折扣,,复合指标,T2,,BUS1010,统计时间内，终端零售额/终端零售市值,,终端零售额 / ( 终端零售量 * 吊牌价 ),,,,
新客终端零售额,,原子指标,T2,,BUS1011,统计时间内，第一次购买的买家数的成交金额汇总,统计时间内，第一次购买的买家数的成交金额汇总,,,"品牌,渠道,店铺,用户维度,时间周期（日）",,消费者洞察
老客终端零售额,,原子指标,T2,,BUS1012,统计时间内，再次购买的买家数的成交金额汇总,统计时间内，再次购买的买家数的成交金额汇总,,,"品牌,渠道,店铺,平台,用户维度,时间周期（日）",,消费者洞察
累销市值,,复合指标,T2,,BUS1013,从约定的开始日期到截止日期内，净销量*吊牌价的金额,从约定的开始日期到截止日期内，净销量*吊牌价的金额,,,,,
支付金额,,原子指标,T2,零售管理,REM.00.00.011,买家拍下后通过支付宝等方式支付的金额。,"买家拍下后通过支付宝等方式支付的金额，未剔除事后退款金额。
【关注点】
1、预售阶段付款在付清当天才计入内；
2、货到付款订单确认收货时计入内。",,,"时间,品牌,门店,商品,直播账号",元,零售事业部
支付买家数,支付买家数,原子指标,T2,零售管理,REM.00.00.012,每日完成支付的按买家编码去重的人数。,"完成支付的按日去重买家人数。
【关注点】
1、预售分阶段付款在付清尾款当天才计入内。",,,"时间,品牌,门店,商品,直播账号",人,零售事业部
