中文名称,中文别称,指标类别,指标层级,一级业务主题,指标编码,指标定义,业务口径,计算公式,关联基础指标或复合指标,维度,基础计量单位,业务主责部门
客户数指数,,复合指标,T2,,BUS1092,统计时间内，对应品类按天去重客户数累计值的指数化指标,统计时间内，对应品类按天去重客户数累计值的指数化指标,,,,,
总客数,,原子指标,T2,,BUS1105,总客数 = 新客数 + 老客数（2022-08-27后平台加密客户数据导致无法计算）,总客数 = 新客数 + 老客数,总客数 = 新客数 + 老客数,,,,
复购率,,复合指标,T2,,BUS1115,筛选日期内，购买（天）次数在2次及以上的买家数（去重）占全部买家数（去重）的比例（2022-08-27后平台加密客户数据导致无法计算）,筛选日期内，购买（天）次数在2次及以上的买家数（去重）占全部买家数（去重）的比例,,,,,
关系周加深率,,复合指标,T2,,BUS1119,从上周同一天到当天，关系加深消费者人数 / 上周同一天品牌消费者总人数。关系加深指的是，认知流转到兴趣，兴趣流转到忠诚等，与品牌距离拉近的流转,从上周同一天到当天，关系加深消费者人数 / 上周同一天品牌消费者总人数。关系加深指的是，认知流转到兴趣，兴趣流转到忠诚等，与品牌距离拉近的流转,,,,,消费者
会员规模,,原子指标,T2,,BUS1123,截止所选日期当天，加入品牌店铺的有效会员（退会会员不纳入其中）,截止所选日期当天，加入品牌店铺的有效会员（退会会员不纳入其中）,,,,,消费者
会员活跃率,,复合指标,T2,,BUS1124,活跃会员/会员规模,活跃会员/会员规模,,,,,消费者
近30天复购率,,复合指标,T2,,BUS1136,以统计的开始日期来判断，近30天内购买的用户中（去重）在统计日期内再次购买的比例（2022-08-27后平台加密客户数据导致无法计算）,以统计的开始日期来判断，近30天内购买的用户中（去重）在统计日期内再次购买的比例,,,,,
近90天复购率,,复合指标,T2,,BUS1137,以统计的开始日期来判断，近90天内购买的用户中（去重）在统计日期内再次购买的比例（2022-08-27后平台加密客户数据导致无法计算）,以统计的开始日期来判断，近90天内购买的用户中（去重）在统计日期内再次购买的比例,,,,,
可运营人群总数,,原子指标,T2,,BUS1139,品牌当前有效的认知（15天）、兴趣（15天）、购买（2年半）、忠诚（1年）的消费者总数,品牌当前有效的认知（15天）、兴趣（15天）、购买（2年半）、忠诚（1年）的消费者总数,,,,,消费者
老客复购模型_当前人群数量,,原子指标,T2,,BUS1249,参数时间点的该类老客人群数量,,,,,,
老客复购模型_预估人群数量,,原子指标,T2,,BUS1251,预估活动开始前一天该类老客的人群数量,,,,,,
老客复购模型_预估增长率,,原子指标,T2,,BUS1252,从参数时间开始到活动前一天该类老客人群的增长情况,,,,,,
老客复购模型_预估召回率,,原子指标,T2,,BUS1253,默认为去年该类老客在该活动下的召回率,,,,,,
老客复购模型-预估人群数量,,原子指标,,,ZB00359,预估活动开始前一天该类老客的人群数量,预估活动开始前一天该类老客的人群数量,,,,,
老客复购模型-当前人群数量,,原子指标,,,ZB00360,参数时间点的该类老客人群数量,参数时间点的该类老客人群数量,,,,,
老客复购模型-预估增长率,,原子指标,,,ZB00361,从参数时间开始到活动前一天该类老客人群的增长情况,从参数时间开始到活动前一天该类老客人群的增长情况,,,,,
老客复购模型-预估召回率,,原子指标,,,ZB00362,默认为去年该类老客在该活动下的召回率,默认为去年该类老客在该活动下的召回率,,,,,
会员零售额,,复合指标,T2,会员整体,MEMB.0001,会员订单净销额,统计周期内 统计维度下，会员零售额进行汇总,销售金额-退款金额,,"时间,店铺,商品,订单来源（门店,云店）会员等级,区域,客户",元,巴拉巴拉品牌事业部
会员购买人数,,原子指标,T2,会员整体,MEMB.0002,会员订单以会员id去重统计,"统计周期内 及所选统计维度，会员订单根据会员ID去重

备注：剔除整单全部为辅料（非正常商品）的订单",统计周期内 及所选统计维度，会员订单根据会员ID去重,,"时间,店铺,商品,订单来源（门店,云店）会员等级,区域,客户",人,巴拉巴拉品牌事业部
会员购买天数,,原子指标,T2,会员整体,MEMB.0003,会员订单以会员id+订单日期+门店编码去重统计,"统计周期内 及所选统计维度，会员订单以会员ID、支付日期、门店编码进行去重统计

备注：剔除整单全部为辅料（非正常商品）的订单",统计周期内 及所选统计维度，会员订单以会员ID、支付日期、门店编码进行去重统计,,"时间,店铺,商品,订单来源（门店,云店）会员等级,区域,客户",天,巴拉巴拉品牌事业部
会员购买件数,,复合指标,T2,会员整体,MEMB.0004,会员订单净销件数,统计周期内 及所选统计维度，会员零售量进行汇总,统计周期内 及所选统计维度，会员零售量进行汇总,,"时间,店铺,商品,订单来源（门店,云店）会员等级,区域,客户",件,巴拉巴拉品牌事业部
会员购买订单数,,原子指标,T2,会员整体,MEMB.0005,会员销售订单数,"统计周期内 及所选统计维度，针对会员的零售额大于0的订单，按订单号进行去重

备注：剔除整单全部为辅料（非正常商品）的订单",统计周期内 及所选统计维度，针对会员的零售额大于0的订单，按订单号进行去重,,"时间,店铺,商品,订单来源（门店,云店）会员等级,区域,客户",单,巴拉巴拉品牌事业部
会员复购人数,,原子指标,T2,会员整体,MEMB.0006,"有复购的会员以会员id去重统计

删除退货","统计周期内 及所选统计维度，有复购的会员 以会员ID去重

【复购定义】统计周期内，统计维度层级下会员有2天及以上大于0元的订单，则计为复购，复购数据统计为该会员自第二天起至统计结束时间内的消费记录。

备注：剔除整单全部为辅料（非正常商品）的订单",统计周期内 及所选统计维度，有复购的会员 以会员ID去重,,"时间,店铺,商品,订单来源（门店,云店）会员等级,区域,客户",人,巴拉巴拉品牌事业部
会销比V2,,复合指标,T2,会员整体,MEMB.0007,会员零售额/零售额,会员零售额/零售额,会员零售额/零售额,,"时间,店铺,商品,订单来源（门店,云店）会员等级,区域,客户",%,巴拉巴拉品牌事业部
会员客单价,,复合指标,T2,会员整体,MEMB.0008,会员零售额/会员购买天数,会员零售额/会员购买天数,会员零售额/会员购买天数,,"时间,店铺,商品,订单来源（门店,云店）会员等级,区域,客户",元,巴拉巴拉品牌事业部
会员人均贡献,,复合指标,T2,会员整体,MEMB.0009,会员零售额/会员购买人数,会员零售额/会员购买人数,会员零售额/会员购买人数,,"时间,店铺,商品,订单来源（门店,云店）会员等级,区域,客户",%,巴拉巴拉品牌事业部
会员购买频次,,复合指标,T2,会员整体,MEMB.0010,会员购买天数/会员购买人数,会员购买天数/会员购买人数,会员购买天数/会员购买人数,,"时间,店铺,商品,订单来源（门店,云店）会员等级,区域,客户",次,巴拉巴拉品牌事业部
