中文名称,中文别称,指标类别,指标层级,一级业务主题,指标编码,指标定义,业务口径,计算公式,关联基础指标或复合指标,维度,基础计量单位,业务主责部门
下单转化率,,复合指标,T2,,BUS1023,统计时间内，下单买家数/访客数，即来访客户转化为下单买家的比例。,统计时间内，下单买家数/访客数，即来访客户转化为下单买家的比例。,下单买家数 / 访客数,,,,
未支付访客,,原子指标,T2,,BUS1024,统计时间段内，来访您店铺内没有产生过支付行为的访客,统计时间段内，来访您店铺内没有产生过支付行为的访客,,,,,
搜索引导支付买家数,,原子指标,T2,,BUS1033,统计时间内，由全网搜索直接引导至商品详情页的支付买家数。,统计时间内，由全网搜索直接引导至商品详情页的支付买家数。,,,,,
当前实际接待客服数量,,原子指标,T2,,BUS1081,业务需求接待客服数量根据当前所选的时间段计算日均客服数量（需当日接待时长大于6小时）,业务需求接待客服数量根据当前所选的时间段计算日均客服数量（需当日接待时长大于6小时）,,,,,客服
加购客单价,,复合指标,T2,,BUS1083,统计时间内，加购金额/加购人数,统计时间内，加购金额/加购人数,加购金额 / 加购人数,,,,
加购客件数,,复合指标,T2,,BUS1084,统计时间内，加购件数/加购人数,统计时间内，加购件数/加购人数,加购件数 / 加购人数,,,,
客服饱和度,,复合指标,T2,,BUS1086,业务需求接待客服数量 / 当前实际接待客服数量*100%，当分母为0，则 显示“-”,业务需求接待客服数量 / 当前实际接待客服数量*100%，当分母为0，则 显示“-”,业务需求接待客服数量 / 当前实际接待客服数量 * 100%,,,,客服
客服次日付款转化率,,复合指标,T2,,BUS1087,所选时间段内，客服当日或次日付款人数占询单人数的比例,所选时间段内，客服当日或次日付款人数占询单人数的比例,,,,,客服
客服接待人数,,原子指标,T2,,BUS1088,所选时间内，某客服接待的客户数,所选时间内，某客服接待的客户数,,,,,客服
客服客件数,,复合指标,T2,,BUS1089,所选时间内，通过客服服务下单付款的顾客，平均每次购买商品的件数，计算逻辑：人工客服销售量/店人工客服销售人数（无时长要求）,所选时间内，通过客服服务下单付款的顾客，平均每次购买商品的件数，计算逻辑：人工客服销售量/店人工客服销售人数（无时长要求）,人工客服销售量/店人工客服销售人数（无时长要求）,,,,客服
