中文名称,中文别称,指标类别,指标层级,一级业务主题,指标编码,指标定义,业务口径,计算公式,关联基础指标或复合指标,维度,基础计量单位,业务主责部门
采购入库市值,,复合指标,T2,,BUS1015,统计周期内，SAP采购入库的货品数量 * 吊牌价,统计周期内，采购入库数量*吊牌价,SAP采购入库的货品数量 * 吊牌价,,"品牌,商品维度",元,统筹运营中心>经营分析部
库存成本（不含税）,,复合指标,T2,其他,BUS1017,库存成本（不含税）=在库库存数量*不含税实际成本单价，线上仅统计财务口径仓库范围内库存数据,"库存成本（不含税）=在库库存数量*不含税实际成本单价，线上仅统计财务口径仓库范围内库存数据
【关注点】
1、包含关税、不含授权费",库存成本（不含税） = 在库库存数量 * 不含税实际成本单价,,"品牌,商品维度,时间周期（日）",,经营分析>统筹运营中心
配发售罄率,,复合指标,T2,,BUS1034,"产品配发开始 ，累计零售市值占净配发市值的比例
注：限定单一产品季使用，通常用于商品维度分析",从产品配发开始 ，截至统计结束时间的累计（净销市值/净配发市值）*100%，其中累计净销市值涉及的O2O不取线上而应按线下算,( 线下零售市值 / 净配发市值 ) * 100% ;,,"品牌,渠道,店铺,商品维度",%,统筹运营中心>经营分析部
电商可销可用库存量,,原子指标,T2,,BUS1062,参与统计仓库的正品仓且商品类别为Z001且产品线中不含有辅料两个字的商品库存量（剔除所有锁定库存量）,,,,,,
电商可销在库库存量,,原子指标,T2,,BUS1063,参与统计仓库的正品仓且商品类别为Z001且产品线中不含有辅料两个字的商品库存量,,,,,,
电商可销在库库存量（剔销售锁定）,,原子指标,T2,,BUS1064,参与统计仓库的正品仓且商品类别为Z001且产品线中不含有辅料两个字的商品库存量（剔除销售锁定库存量）,,,,,,
电商可销在库库存市值,,复合指标,T2,,BUS1065,参与统计仓库的正品仓且商品类别为Z001且产品线中不含有辅料两个字的商品库存市值,,,,,,
电商可销在库库存市值（剔销售锁定）,,复合指标,T2,,BUS1066,参与统计仓库的正品仓且商品类别为Z001且产品线中不含有辅料两个字的商品库存市值（剔除销售锁定库存市值）,,,,,,
电商可用库存量,,原子指标,T2,,BUS1067,统计时点在所有仓库中剔除所有锁定状态下的的所有商品库存量,,,,,,
电商可用库存市值,,复合指标,T2,,BUS1068,统计时点在所有仓库中剔除所有锁定状态下的的所有商品库存市值,,,,,,
电商全量在库库存量,,原子指标,T2,,BUS1069,统计时点在所有仓库中的所有商品库存总量,,,,,,
电商全量在库库存量（剔销售锁定）,,原子指标,T2,,BUS1070,统计时点在所有仓库中剔除为销售发货而锁定后库存量,,,,,,
电商全量在库库存市值,,复合指标,T2,,BUS1071,统计时点在所有仓库中的所有商品库存总市值,,,,,,
电商全量在库库存市值（剔销售锁定）,,复合指标,T2,,BUS1072,统计时点在所有仓库中剔除为销售发货而锁定后库存市值,,,,,,
电商锁定库存量,,原子指标,T2,,BUS1073,统计时点所有仓库中处于锁定状态下的所有商品库存量,,,,,,
电商锁定库存市值,,复合指标,T2,,BUS1074,统计时点所有仓库中处于锁定状态下的所有商品库存市值,,,,,,
电商在库可用库存量,,原子指标,T2,,BUS1075,参与统计仓库且商品类别为Z001且产品线中不含有辅料两个字的商品库存量（剔除所有锁定库存量）,,,,,,
电商在库可用库存市值,,复合指标,T2,,BUS1076,参与统计仓库且商品类别为Z001且产品线中不含有辅料两个字的商品库存市值（剔除所有锁定库存市值）,,,,,,
电商在库库存量（剔销售锁定）,,原子指标,T2,,BUS1077,参与统计仓库且商品类别为Z001且产品线中不含有辅料两个字的商品库存量（剔除销售锁定库存量）,,,,,,
电商在库库存市值,,复合指标,T2,,BUS1078,参与统计仓库且商品类别为Z001且产品线中不含有辅料两个字的商品库存市值,,,,,,
电商在库库存市值（剔销售锁定）,,复合指标,T2,,BUS1079,参与统计仓库且商品类别为Z001且产品线中不含有辅料两个字的商品库存市值（剔除销售锁定库存市值）,,,,,,
规划库位数,,原子指标,T2,,BUS1080,仓库规划的理论库位数，以规划组提供数据为准,仓库规划的理论库位数，以规划组提供数据为准,,,,,
拆包及时率,,复合指标,T2,,BUS1107,（拆包时效<24H单量 / 总单量）* 100%,（拆包时效<24H单量 / 总单量）* 100%,(拆包时效<24H单量 / 总单量)* 100%,,,,
发货及时率,,复合指标,T2,,BUS1112,（count（(未超时单=发货时间-创建时间) < 作业标准时效）/发货单量汇总）,（count（(未超时单=发货时间-创建时间) < 作业标准时效）/发货单量汇总）,(count((未超时单=发货时间-创建时间) < 作业标准时效)/发货单量汇总),,,,
满载率,,复合指标,T2,,BUS1141,"AVERAGE( 库存数/(SKU标准装箱量 * 库位数值)), 杂箱用SKU的最大标准装箱计算；","AVERAGE( 库存数/(SKU标准装箱量 * 库位数值)), 杂箱用SKU的最大标准装箱计算；",AVERAGE( 库存数/(SKU标准装箱量 * 库位数值)),,,,
品牌数据总览,,复合指标,T2,,BUS1142,"品牌匹配说明：
① B2C/JITX：品牌为销售店铺对应的主品牌；
② JIT/B2B：品牌为实际出库SKU对应的款号品牌；
③ 商品在主数据维护异常，无法识别的商品品牌维护为“未知”；","品牌匹配说明：
① B2C/JITX：品牌为销售店铺对应的主品牌；
② JIT/B2B：品牌为实际出库SKU对应的款号品牌；
③ 商品在主数据维护异常，无法识别的商品品牌维护为“未知”；",,,,,
综合满载率,,原子指标,T2,,BUS1168,"AVERAGE( 库存数/(SKU标准装箱量 * 库位数值)), 杂箱用SKU的最大标准装箱计算；","AVERAGE( 库存数/(SKU标准装箱量 * 库位数值)), 杂箱用SKU的最大标准装箱计算；",AVERAGE( 库存数/(SKU标准装箱量 * 库位数值)),,,,
B2C单量,,原子指标,T2,,BUS1183,查询周期内B2C出库总单量,查询周期内B2C出库总单量,,,,,
电商可销可用库存市值,,复合指标,T2,,BUS1184,参与统计仓库的正品仓且商品类别为Z001且产品线中不含有辅料两个字的商品库存市值（剔除所有锁定库存市值）,,,,,,
规划库位达成率,,复合指标,T2,,BUS1185,WMS系统构建的存储/零拣库位数；（折算为标准库位）,WMS系统构建的存储/零拣库位数；（折算为标准库位）,,,,,
平均在库时长,库存周转时效,复合指标,T2,其他,BUS1186,商品在仓库里停留的平均时长,"近365天 每天零点库存汇总/近365天净出库件数；
【关注点】     
1、净出库件数：B2C件数+B2B件数-B2C退货件数-B2B退货件数，     
2、近365天按筛选的结束日期开始统计，比如统计时间选择2024.01.04-2024.03.06，则按2024.03.06往前推365天；",近365天每天零点库存汇总/近365天净出库件数,,"时间,品牌,仓库,商品",天,经营分析>统筹运营中心
库位利用率,,复合指标,T2,,BUS1187,使用库位数/系统库位数 * 100%,使用库位数/系统库位数 * 100%,使用库位数/系统库位数 * 100%,,,,
库位满载率分析,,复合指标,T2,,BUS1188,"功能说明：
1. 展示物流部各仓库位综合满载率；
2. 展示各仓不同满载率范围的库位数量分布情况；","功能说明：
1. 展示物流部各仓库位综合满载率；
2. 展示各仓不同满载率范围的库位数量分布情况；",,,,,
库位资源监控,,原子指标,T2,,BUS1189,"功能说明：
1. 展示物流部各自有仓库位资源信息；
2. 监控物流库位使用及闲置情况；","功能说明：
1. 展示物流部各自有仓库位资源信息；
2. 监控物流库位使用及闲置情况；",,,,,
