中文名称,中文别称,指标类别,指标层级,一级业务主题,指标编码,指标定义,业务口径,计算公式,关联基础指标或复合指标,维度,基础计量单位,业务主责部门
零售毛利额,,复合指标,T2,其他,FIN1001,【零售回款额/（1+增值税税率）】- 零售成本额，其中零售成本额=不含税实际成本额,"统计时间内，不含税收入-不含税实际成本额，其中不含税收入=零售回款额/（1+增值税税率），实际成本按含试制费的采购实际成本或代运营固定比例计算，2019年4月起税率为13%。当运营模式为加盟且为线下店铺，且商品品牌为森马、巴拉、马卡乐时不含税成本额需按净销量*加盟商不含税配发单价。
（自22年3月起含唯品补贴优惠劵，22年6月起含天猫超市销售数据；22年11月起含拼多多优惠券，23年起含京东POP店平台",,,"品牌,渠道,店铺,商品维度",元,统筹运营中心>经营分析部
零售毛利率,,复合指标,T2,,FIN1002,【零售毛利额】/【零售回款额/（1+增值税税率）】,毛利率=毛利金额/不含税收入*100%， 其中不含税收入=回款金额/（1+增值税税率），口径同财务管理报表（剔除唯品、贝店、拼多多扣点）,,,"品牌,渠道,店铺,商品维度",%,统筹运营中心>经营分析部
贡献额本期,,复合指标,T2,,BUS1116,贡献额本期=回款金额-变动费用-固定费用，用于描述营收状况,贡献额本期=回款金额-变动费用-固定费用，用于描述营收状况,贡献额本期 = 回款金额 - 变动费用 - 固定费用,,,,
贡献额达成率,,复合指标,T2,,BUS1117,贡献额对比预算的达成情况，用于评估营收状况达成,贡献额对比预算的达成情况，用于评估营收状况达成,,,,,
贡献率本期,,复合指标,T2,,BUS1118,贡献率本期=贡献额/回款金额，用于评估收入与支出之间的关系状态,贡献率本期=贡献额/回款金额，用于评估收入与支出之间的关系状态,,,,,
不含税收入,,复合指标,T2,,FIN1003,统计时间内，回款金额/（1+增值税税率）,统计时间内，回款金额/（1+增值税税率）,回款金额/(1+增值税税率),,"品牌,运营模式,一,二级渠道,店铺,商品维度,时间周期（日）",,财经策略部
门店补贴,,复合指标,T2,,FIN1006,线下门店补贴类投入费用，如装修补贴，道具补贴等,线下门店补贴类投入费用，如装修补贴，道具补贴等,,,"品牌,线下,渠道,店铺,时间周期（月）",,财经策略部
平台扣点,,原子指标,T2,,FIN1008,平台扣点,平台扣点,,,"品牌,线上,渠道,店铺,时间周期（月）",,财经策略部
门店人工成本,,复合指标,T2,,FIN1015,线下门店所有岗位自有+外包人工成本（人工成本含：工资、社保、公积金、福利费（注意部门人员编制，调薪幅度，年终奖+效益奖金+双11奖金，职工教育经费））,线下门店所有岗位自有+外包人工成本（人工成本含：工资、社保、公积金、福利费（注意部门人员编制，调薪幅度，年终奖+效益奖金+双11奖金，职工教育经费））,线下门店所有岗位自有+外包人工成本(人工成本含：工资、社保、公积金、福利费(注意部门人员编制，调薪幅度，年终奖+效益奖金+双11奖金，职工教育经费)),,"品牌,线下,渠道,店铺,时间周期（月）",,财经策略部
财务费用,,原子指标,T2,,FIN1017,财务费用包含税金及附加费用，存跌，政府补贴等,财务费用包含税金及附加费用，存跌，政府补贴等,,,"品牌,线下,渠道,店铺,时间周期（月）",,财经策略部
零售费用,,复合指标,T2,,FIN1021,零售费用=运营费用+中后台费用+财务费用,零售费用=运营费用+中后台费用+财务费用,零售费用=运营费用+中后台费用+财务费用,,"品牌,全渠道,店铺,时间周期（月）",,财经策略部
零售费用率,,复合指标,T2,,FIN1022,零售费用/不含税收入*100%，其中不含税收入=零售回款额/(1+增值税税率),零售费用/不含税收入*100%，其中不含税收入=零售回款额/(1+增值税税率),零售费用/不含税收入*100%;、不含税收入=零售回款额/(1+增值税税率),,"品牌,全渠道,店铺,时间周期（月）",,财经策略部
其他服务费用,,原子指标,T2,,FIN1024,运费险、购买软件、信用卡、花呗服务费用等,运费险、购买软件、信用卡、花呗服务费用等,,,"品牌,线上,渠道,店铺,时间周期（月）",,财经策略部
其他运营费用,,原子指标,T2,,FIN1026,差旅，办公杂费，折旧等费用,差旅，办公杂费，折旧等费用,,,"品牌,线上,渠道,店铺,时间周期（月）",,财经策略部
视觉费用,,原子指标,T2,,FIN1027,与视觉呈现相关的费用，如拍摄、剪辑、修片、上新等,与视觉呈现相关的费用，如拍摄、剪辑、修片、上新等,,,"品牌,线下,渠道,店铺,时间周期（月）",,财经策略部
线下宣传费用,,派生指标,T2,,FIN1031,线下相关的宣传投入费用,线下相关的宣传投入费用,,,"品牌,线下,渠道,店铺,时间周期（月）",,财经策略部
线下运营费用,,派生指标,T2,,FIN1032,线下运营过程中产生的期间费用，包含租赁费，水电费等,线下运营过程中产生的期间费用，包含租赁费，水电费等,,,"品牌,线下,渠道,店铺,时间周期（月）",,财经策略部
中后台费用,,复合指标,T2,,FIN1036,中后台费用=视觉费用+人工成本+管理分摊+子公司后台费用,中后台费用=视觉费用+人工成本+管理分摊+子公司后台费用,中后台费用=视觉费用+人工成本+管理分摊+子公司后台费用,,"品牌,全渠道,店铺,时间周期（月）",,财经策略部
子公司后台费用,,原子指标,T2,,FIN1037,子公司中后台部门产生的所有费用，包括人工成本，差旅，办公杂费等,子公司中后台部门产生的所有费用，包括人工成本，差旅，办公杂费等,,,"品牌,线下,渠道,店铺,时间周期（月）",,财经策略部
零售利润,,复合指标,T2,,FIN1038,零售毛利额-零售费用,毛利金额-零售费用,,,"品牌,全渠道,店铺,时间周期（月）",,财经策略部
零售利润率,,复合指标,T2,,FIN1039,零售利润/不含税收入*100%，其中不含税收入=零售回款额/(1+增值税税率),零售利润/不含税收入*100%，其中不含税收入=零售回款额/(1+增值税税率),零售利润/不含税收入*100%;、不含税收入=零售回款额/(1+增值税税率),,"品牌,全渠道,店铺,时间周期（月）",,财经策略部
电商_财务毛利额,,派生指标,T2,,FIN1040,,,电商_营业收入 - 电商_营业成本、(※ 注：“电商-营业成本”按股份单款采购成本计算),,0,元,统筹运营中心>经营分析部
电商_财务毛利率,,派生指标,T2,,FIN1041,,,电商_财务毛利额 / 电商_营业收入 * 100%,,0,%,统筹运营中心>经营分析部
股份_财务毛利额,,派生指标,T2,,FIN1042,财务毛利额是指企业销售收入扣除主营业务的直接成本后的利润部分，其中的直接成本不包括企业的管理费用、财务费用、销售费用、税收等。,,∑ 品牌_财务毛利额,,0,元,统筹运营中心>经营分析部
股份_财务毛利率,,派生指标,T2,,FIN1043,财务毛利率是财务毛利额占营业收入的百分比，其中财务毛利额是收入和与收入相对应的营业成本之间的差额。,,股份_财务毛利额 / 股份_营业收入 * 100%,,0,%,统筹运营中心>经营分析部
加盟_财务毛利率,,派生指标,T2,,FIN1045,,,加盟_财务毛利额 / 加盟_营业收入 * 100%,,0,%,统筹运营中心>经营分析部
品牌_财务毛利额,,复合指标,T2,,FIN1046,,,直营_财务毛利额 + 加盟_财务毛利额 + 电商_财务毛利额 + 国际业务_财务毛利额 + 清仓_财务毛利额,,0,元,统筹运营中心>经营分析部
品牌_财务毛利率,,复合指标,T2,,FIN1047,,,品牌_财务毛利额 / 品牌_营业收入 * 100%,,0,%,统筹运营中心>经营分析部
直营_财务毛利额,,派生指标,T2,,FIN1050,,,营业收入 - 营业成本、(※ 注：“直营”包括渠道分析名称：直营、类直营),,0,元,统筹运营中心>经营分析部
直营_财务毛利率,,派生指标,T2,,FIN1051,,,直营_财务毛利额 / 直营_营业收入 * 100%,,0,%,统筹运营中心>经营分析部
终端_财务毛利额,,派生指标,T2,,FIN1052,,,直营_财务毛利额 +  加盟_财务毛利额  + 其他渠道_财务毛利额 、(※ 注：其他渠道”包括：清仓及其他),,0,元,统筹运营中心>经营分析部
终端_财务毛利率,,派生指标,T2,,FIN1053,,,终端_财务毛利额 / 终端_营业收入 * 100%,,0,%,统筹运营中心>经营分析部
O2O_营业收入,,派生指标,T2,财务及预算控制,FIN1054,"(O2O_GMV - 交易关闭订单金额 - 退货退款金额 - 仅退款金额 - 各种代金券金额 - 账扣费用 - 平台扣点费用) / (1+增值税税率)
(※ 注：“账扣费用”和“平台扣点费用”指的是不开费用发票的部分)",/,(O2O_GMV - 交易关闭订单金额 - 退货退款金额 - 仅退款金额 - 各种代金券金额 - 账扣费用 - 平台扣点费用) / (1+增值税税率)、(※ 注：“账扣费用”和“平台扣点费用”指的是不开费用发票的部分),,0,元,费用核算部>财务中心
电商_营业收入,,派生指标,T2,财务及预算控制,FIN1055,"(电商_GMV - 交易关闭订单金额 - 退货退款金额 - 仅退款金额 - 各种代金券金额 - 账扣费用 - 平台扣点费用) / (1+增值税税率)
(※ 注：“账扣费用”和“平台扣点费用”指的是不开费用发票的部分)",/,(电商_GMV - 交易关闭订单金额 - 退货退款金额 - 仅退款金额 - 各种代金券金额 - 账扣费用 - 平台扣点费用) / (1+增值税税率)、(※ 注：“账扣费用”和“平台扣点费用”指的是不开费用发票的部分),,0,元,费用核算部>财务中心
股份_营业收入,,派生指标,T2,财务及预算控制,FIN1056,营业收入是指在一定时期内，企业从事主营业务或其他业务所取得的货币收入。,/,∑ 品牌_营业收入,,0,元,费用核算部>财务中心
加盟_营业收入,,派生指标,T2,财务及预算控制,FIN1057,"(配发金额 - 配发退货金额 - 预提退货差异 - 实际返利 - 预提返利+其他业务收入) / (1+增值税税率)
(※ 注：“加盟”包括渠道分析名称：加盟、联营，及海外加盟部分)",/,(配发金额 - 配发退货金额 - 预提退货差异 - 实际返利 - 预提返利+其他业务收入) / (1+增值税税率)、(※ 注：“加盟”包括渠道分析名称：加盟、联营，及海外加盟部分),,0,元,费用核算部>财务中心
品牌_营业收入,,复合指标,T2,财务及预算控制,FIN1058,/,/,终端_营业收入 + 电商_营业收入 - O2O_营业收入*0.86、(※ 注：终端_营业收入 和 电商_营业收入 都含O2O部分收入，故核算 品牌_营业收入 时应减去O2O重复部分，并扣除针对O2O订单，终端向电商所支付的14%服务费),,0,元,费用核算部>财务中心
直营_营业收入,,派生指标,T2,财务及预算控制,FIN1059,/,/,零售金额/(1+增值税税率)+ 非租金发票扣点金额/(1+增值税税率)* 增值税税率、(※ 注：“直营”包括渠道分析名称：直营、类直营，及海外直营部分),,0,元,费用核算部>财务中心
终端_营业收入,,派生指标,T2,财务及预算控制,FIN1060,/,/,直营_营业收入 +  加盟_营业收入 + 其他渠道_营业收入、(※ 注：“其他渠道”包括：清仓及其他),,0,元,费用核算部>财务中心
不含税实际成本单价,,,T2,,16386,,,,,,,
含税实际成本额,,,T2,,16398,,,,,,,
回款金额,,,T2,,16399,,统计时间内，净销额扣减唯品扣点和考虑分销结算回款比例后，剩余的金额（销售次日获取，持续更新）；另，当前线下直营/加盟模式的回款金额=净销额，（自22年3月起含唯品补贴优惠劵，22年6月起含天猫超市销售数据；22年11月起含拼多多优惠券，23年起含京东POP店平台补贴；但暂不含Glemall和Aiken授权业务、JC唯品会、MOP唯品会、代运营keep、迪士尼及及非森马订单系统的数据）,,,,,
变动费用,,,T2,,16400,,变动费用=服务费用+宣传费用+客服费用+物流费用,,,,,
固定费用,,,T2,,16401,,固定费用=人工费用+其他费用,,,,,
资金监控,,原子指标,,,ZB00466,,"成品： 背书每次3分,年度累计第3次及以上，每次5分； 投诉每次1分,年度累计第3次及以上，每次2分；原材料： 失实投诉每次3分,年度累计第3次及以上，每次5分；",,,,,
IP毛利额,,派生指标,,,ZB00487,,"""商品毛利额即商品销售毛利，是商业企业商品销售金额与商品购进金额的差额（简称进销差价）。
进销差价不是企业的净利润，因为还没有扣除各项商品流通费用和税金，故称为毛利。
零售_商品毛利额 = 零售金额 - 零售-商品成本
零售-商品成本 = 零售市值 / 定价倍率
定价倍率 = 某一产品季，整季-采购市值 / 整季-采购成本（含试制费），即：入库市值 / 入库金额（※ 注：“定价倍率”须基于“产品季”进行计算）
零售_商品毛利额，即：直营零售视角商品毛利额，该指标通常需结合商品属性计算，未选商品属性的情况下",,,,,
