中文名称,中文别称,指标类别,指标层级,一级业务主题,指标编码,指标定义,业务口径,计算公式,关联基础指标或复合指标,维度,基础计量单位,业务主责部门
配发市值,,复合指标,T2,商品统筹,MEC.00.00.003,总仓对加盟经销商的销售出库的商品市值。,"口径与【配发量】一致
【关注点】
1、商品吊牌价是商品主数据中记录的吊牌价格。",商品吊牌价 * 配发量,配发量,"时间,品牌,代理商,商品",元,统筹运营中心
库存市值,库存市值/在库库存市值,复合指标,T2,商品统筹,MEC.00.00.013,所选时间点的在库库存市值。,"口径与【库存量】一致，即当取加盟库存时限定商品年份>=所选结束年份-2。
【关注点】
1、商品吊牌价是商品主数据中记录的吊牌价格。	",库存量*商品吊牌价,,"时间,品牌,门店,商品",元,统筹运营中心
库存周转天数,库存周转天数/库存周转天数（市值）,复合指标,T1,商品统筹,MEC.00.00.014,企业将当前库存全部售出所需要的天数。,"口径与【库存市值】【零售市值】一致。其中12个月零售市值平均值 = SUM(近12个月累计零售市值) / 12，不含未结束月；12个月库存市值 平均值= SUM(近12个月的每月期末库存市值 ) / 12。
【关注点】
1、计算渠道(电商、加盟、直营)库存周转天数的时候，线下零售市值包含O2O , 电商零售市值不含O2O；
2、彪马、亚瑟士商品年份的限定条件:商品年份>=所选结束年份-3，其余品牌限定：商品年份 >= 所选结束年份 - 2。",（12个月库存市值平均值 / 12个月零售市值平均值）* 30,,"时间,品牌,商品",天,统筹运营中心
入库售罄率,,复合指标,T1,商品统筹,MEC.00.00.015,单一产品季，累计零售市值占公司累计采购市值的比例。,"口径与【零售市值】【采购入库市值】一致。截止统计结束时间，限定单一产品季使用，通常用于商品维度分析。
【关注点】
1、默认累计零售市值，累计采购入库市值；若取某时间段的零售市值，指标名称需增加后缀。例如：入库售罄率(周)=周间零售市值 / 采购入库市值累计值 *100%。
2、由于线下电商仓之间的存在调拨等业务，故此指标不建议区分线下电商使用；若要大致区分线下电商，O2O业绩需算在线下。",零售市值累计值 / 采购入库市值累计值 *100%,,"时间,品牌,商品",%,统筹运营中心
活跃购买,,原子指标,T2,,BUS1125,最近365天内购买过品牌商品的消费者-”忠诚“的消费者,最近365天内购买过品牌商品的消费者-”忠诚“的消费者,,,,,消费者
购买,,原子指标,T2,,BUS1229,最近2年半（2*365天+180天），购买了品牌商品的所有消费者减去“ 忠诚”的消费者,最近2年半（2*365天+180天），购买了品牌商品的所有消费者减去“ 忠诚”的消费者,,,,,消费者
忠诚,,原子指标,T2,,BUS1233,365天内有过正向的评论\正向的追评，或365天内购买过该品牌商品大于等于2天的消费者,365天内有过正向的评论\正向的追评，或365天内购买过该品牌商品大于等于2天的消费者,,,,,消费者
动销率,,复合指标,T2,,BUS1270,动销商品数/在线商品数,动销商品数/在线商品数,动销商品数/在线商品数,,"品牌,渠道,品类",,经营企划
款数,,原子指标,T2,,BUS1275,统计时间内，商品款号去重的数量,统计时间内，商品款号去重的数量,,,,,
吊牌价,,,T2,,16380,,吊牌金额,,,,,
线下零售市值,,,T2,,16387,,,,,,,
区间零售市值,,,T2,,16390,,,,,,,
商品毛利额,商品毛利额/商品毛利额（含税）/商品毛利金额,复合指标,T2,商品统筹,MEC.00.00.008,商品视角下的零售额与含税实际成本额的差额。,"口径与【零售额】【采购成本单价】【零售量】一致
【关注点】
1、【特殊处理】亚瑟士鞋品的成本为采购成本单价*零售量，扣除返点，返点的计算方式是 吊牌价*2%",零售额 -（采购成本单价*零售量）,,"时间,品牌,门店,商品",元,统筹运营中心
商品毛利率,,复合指标,T1,商品统筹,MEC.00.00.009,商品视角下的收入与成本的差额，可以衡量一个商品是否值得继续贩售。,口径与【商品毛利额】【零售额】一致。,商品毛利额 / 零售额,,"时间,品牌,门店,商品",%,统筹运营中心
采购成本单价,采购入库成本单价,原子指标,T2,商品统筹,MEC.00.00.011,总部实际采购成衣的入库成本价。,"按含试制费的采购实际成本或特殊业务下比如代运营固定比例计算。
【关注点】
1、包含关税、不含授权费",,,"品牌,渠道,商品",元,统筹运营中心
售罄率,,派生指标,,,ZB00056,,所选年初至所选结束时间累销市值/（年初至所选结束时间累销市值+所选结束时间在库库存市值）； 季节为Q4的商品累销市值从3月1日开始算；另，【零售经营】全域视角下指截至统计结束时间，累计净吊销市值/累计采购市值，后续将调口径，待开发。,,,,,
累销市值（账面）,,派生指标,,,ZB00095,,从约定的开始日期到截止日期内，终端零售额*吊牌价的金额,,,,,
客单价（账面）,,派生指标,,,ZB00127,,统计日期内，支付金额/支付买家数，即平均每个支付买家的支付金额,,,,,
件单价（账面）,,派生指标,,,ZB00128,,统计日期内，终端零售额/终端零售量，即平均每件商品的实际支付金额,,,,,
客件数（账面）,,派生指标,,,ZB00129,,统计日期内，终端零售量/支付买家数，即平均每个买家的实际支付件数,,,,,
库存量,库存数量/在库库存/在库库存量,原子指标,T2,商品统筹,MEC.00.00.012,-,"公司库存 = 总仓库存 + 直营库存
全域库存 = 总仓库存 + 直营库存 + 加盟库存（口径1）
1、总仓库存包含：在手库存、线下渠道退货在途库存、库位间调拨在途库存PS：在手库存取SAP实存（全域货通上线的品牌取全域货通）；通过库位判断总仓库存归属的渠道模式（线下总仓、电商）
2、直营库存取ERP实际库存+ERP在途库存
3、加盟库存基于场景差异，从以下2个口径选择使用
口径1：整体库存统计场景，用逻辑计算（净配发-零售），且限定商品年份 >= 所选结束年份 - 2
口径2：门店细化分析场景，取ERP实际库存+ERP在途库存
【关注点】1、亚瑟士、彪马和MOP加盟库存取道迅实际值",,,"时间,品牌,门店,商品",件,统筹运营中心
采购数量,,原子指标,,,ZB00395,,SAP采购订单的货品数量,,,,,
采购金额,,派生指标,,,ZB00396,,SAP采购订单的货品金额，采购数量 * 单款平均成本额,,,,,
采购市值,,派生指标,,,ZB00404,,SAP采购订单的货品数量 * 吊牌金额，实际采购的货品吊牌金额,,,,,
采购数量占比,,派生指标,,,ZB00405,,采购数量/季度总采购数量,,,,,
